user,hash,date,site_admin,day_of_week,period_of_day
vmg,f217047ac0297748b58e7ab63b83d8b374321efc,2014-11-14T18:06:41Z,TRUE,sexta-feira,"(10,11]"
vmg,a7f835a653864922988c4aa6a6d4440c35a48acf,2018-01-29T13:40:23Z,TRUE,segunda-feira,"(5,6]"
vmg,01c93453a75e023fdd85a75b38f4d19c78f52d72,2012-04-09T18:36:18Z,TRUE,segunda-feira,"(11,12]"
vmg,8438c6cd3e2657775db8755d81d6b0cc9f09dcd2,2018-01-25T13:49:03Z,TRUE,quinta-feira,"(5,6]"
vmg,efc779996037133a51dab79a735952282ce26968,2014-11-16T17:29:58Z,TRUE,domingo,"(9,10]"
vmg,2448ff83142a1d80927dc94791ca68563a73ac78,2016-03-11T09:27:10Z,TRUE,sexta-feira,"(1,2]"
vmg,659d27cae589c9cb5a085239dd3833a8cede9462,2014-06-26T10:54:08Z,TRUE,quinta-feira,"(3,4]"
vmg,5969a8b679e756e9ad0da3c7b3bd35a8d3cc7f07,2014-11-14T18:18:43Z,TRUE,sexta-feira,"(10,11]"
vmg,65eaf98d0badbb5f6012f9d5bf947e418e28f9a0,2014-06-26T19:26:26Z,TRUE,quinta-feira,"(12,13]"
vmg,0145a0adb2633d99255c01239fab90fe93dd13d2,2015-09-16T12:40:55Z,TRUE,quarta-feira,"(5,6]"
vmg,a36e032ced81163b6e325bb4fac2e11afe3090b4,2012-04-09T18:52:49Z,TRUE,segunda-feira,"(11,12]"
vmg,a351cdd48622b0fa7a170990e2930bd114a54744,2015-06-30T12:58:18Z,TRUE,terça-feira,"(5,6]"
vmg,98b99e38bb7665b98027702eb309a946edf62d20,2015-09-28T09:12:49Z,TRUE,segunda-feira,"(2,3]"
vmg,458831b8853d6a39e5b020367d8ad52b5681bd6b,2014-07-02T17:52:05Z,TRUE,quarta-feira,"(10,11]"
vmg,e5b60017596aeb4246b8c558d1ecb288a79d92c7,2014-10-12T15:43:03Z,TRUE,domingo,"(8,9]"
vmg,463f48f04f4f2137222044ba42d5dc7175f5dbf2,2014-06-16T15:31:44Z,TRUE,segunda-feira,"(8,9]"
vmg,5bc0ce088819ca33882f6121501eadab5afc4a2c,2014-11-14T17:44:12Z,TRUE,sexta-feira,"(9,10]"
vmg,d8e3bec499a16eefc0f191db463b291d10204c9c,2015-09-25T15:36:20Z,TRUE,sexta-feira,"(8,9]"
vmg,9b78c533a5d9e4131f9aba84e80e814b985d45f6,2015-09-21T19:56:33Z,TRUE,segunda-feira,"(12,13]"
vmg,b40459335b6f6efee69583ff7a9e5041546efeb7,2014-11-14T16:38:39Z,TRUE,sexta-feira,"(8,9]"
vmg,f5e4789ccb33f97c9d78d6b4f364c62468d77482,2014-07-02T17:51:06Z,TRUE,quarta-feira,"(10,11]"
vmg,53d238f3105c70e4e736887341b91f8cef5d7c42,2015-12-10T08:08:40Z,TRUE,quinta-feira,"(0,1]"
vmg,af90ac3758479f542fa6a8afbb3c4c68e260dfa1,2014-11-14T17:54:27Z,TRUE,sexta-feira,"(9,10]"
vmg,df09a746a0d76cbe2ebe8858b69cd0e3b61141c4,2014-06-27T14:57:58Z,TRUE,sexta-feira,"(7,8]"
vmg,6e9f6da2a2c18b7d8a0ac6b6e37dc7f73336ff86,2014-10-13T13:13:22Z,TRUE,segunda-feira,"(6,7]"
vmg,9d4b5416a5b77f80e2ae3a0f6b5e52b1e853e81f,2014-09-17T13:48:14Z,TRUE,quarta-feira,"(6,7]"
vmg,b0dba20087aab228c3aecd6b7fb5a9413671f1a9,2012-04-09T21:26:24Z,TRUE,segunda-feira,"(14,15]"
vmg,74d94781cbe8654075a431bd66e1e0ef1a22763d,2014-11-24T12:05:42Z,TRUE,segunda-feira,"(4,5]"
vmg,a1e09ae3e6ccc3d912119530a9e745e0dc4f2baa,2017-05-16T10:46:04Z,TRUE,terça-feira,"(3,4]"
vmg,25ac140d581e972375989b390041e5a1e484d8da,2018-01-30T11:49:28Z,TRUE,terça-feira,"(3,4]"
vmg,32828a9af56d748225609e55e99e5c5df4c041cc,2014-06-27T11:51:56Z,TRUE,sexta-feira,"(4,5]"
vmg,621042e63936fbdecf1e526e26ef3ada91e3b7e0,2014-06-26T16:42:43Z,TRUE,quinta-feira,"(9,10]"
vmg,b275b5d728fd0330f8df29513a8c935528e2bc36,2015-09-04T08:24:06Z,TRUE,sexta-feira,"(1,2]"
