id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1850,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1863,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1874,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
188,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
189,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1897,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1906,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
191,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1922,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1925,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
195,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
196,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1960,closed,brianmario,employee,null,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
1995,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2004,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2014,closed,zcbenz,employee,zcbenz,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
202,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2039,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2043,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2046,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2051,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2057,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2077,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
208,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2092,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2094,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2107,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
211,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2111,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2128,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
213,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2131,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2136,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
214,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2142,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2145,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2146,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
215,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2152,closed,zcbenz,employee,zcbenz,employee,0,5,0,0,0,NA,NA,NA,NA
2159,closed,bkeepers,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
216,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2211,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2215,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2220,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
225,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2287,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2307,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
231,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
232,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2321,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2323,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2325,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
234,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
235,closed,zcbenz,employee,probablycorey,employee,10,0,null,null,null,"(1,30]",NA,NA,NA
2369,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
237,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
238,closed,probablycorey,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2381,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
239,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
240,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2408,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2411,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2412,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2419,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2422,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2423,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2431,closed,zcbenz,employee,zcbenz,employee,0,2,0,0,0,NA,NA,NA,NA
2447,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2460,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2461,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2462,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2465,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2474,closed,zcbenz,employee,zcbenz,employee,9,2,0,1,8,"(1,30]",NA,"(0,1]","(1,30]"
2476,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
2568,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2594,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2606,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2607,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2608,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2611,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2612,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2613,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2675,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2682,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2685,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
2694,closed,zcbenz,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
2718,closed,zcbenz,employee,zcbenz,employee,0,3,1,0,1,NA,"(0,1]",NA,"(0,1]"
