id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
803,closed,kevinsawicki,employee,zcbenz,employee,2,1,0,0,2,"(1,30]",NA,NA,"(1,30]"
772,closed,kevinsawicki,employee,kevinsawicki,employee,1,3,184,0,183,"(0,1]","(180,365]",NA,"(180,365]"
771,closed,kevinsawicki,employee,zcbenz,employee,1,1,0,970,968,"(0,1]",NA,"(365,Inf]","(365,Inf]"
761,closed,kevinsawicki,employee,zcbenz,employee,46,9,163,38,155,"(30,180]","(30,180]","(30,180]","(30,180]"
724,closed,probablycorey,employee,zcbenz,employee,60,2,44,7,9,"(30,180]","(30,180]","(1,30]","(1,30]"
11792,open,vanessayuenn,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
675,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
673,open,zcbenz,employee,null,volunter,null,212,1328,0,null,NA,"(365,Inf]",NA,NA
669,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
667,closed,probablycorey,employee,zcbenz,employee,6,1,0,58,52,"(1,30]",NA,"(30,180]","(30,180]"
649,closed,jonmagic,employee,zcbenz,employee,0,3,0,0,0,NA,NA,NA,NA
639,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
628,closed,zcbenz,employee,zcbenz,employee,1,2,6,1,6,"(0,1]","(1,30]","(0,1]","(1,30]"
615,closed,zcbenz,employee,zcbenz,employee,54,18,293,11,250,"(30,180]","(180,365]","(1,30]","(180,365]"
613,closed,kevinsawicki,employee,zcbenz,employee,209,3,209,0,0,"(180,365]","(180,365]",NA,NA
591,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
587,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
582,closed,kevinsawicki,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
580,closed,max,employee,zcbenz,employee,223,1,0,222,0,"(180,365]",NA,"(180,365]",NA
575,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
559,closed,nathansobo,employee,zcbenz,employee,4,6,4,0,0,"(1,30]","(1,30]",NA,NA
536,closed,nathansobo,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
