user,hash,date,site_admin,day_of_week,period_of_day
technicalpickles,708a73e12f8d18518b7ae49047e77c1b322642a9,2014-08-22T00:53:18Z,TRUE,sexta-feira,"(17,18]"
technicalpickles,79a57d0b9213eaea776eb8243ce4feb744171ee0,2015-03-13T17:30:53Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,f0f90342cbafd8e623190c619edc92b30badd3c6,2014-01-15T22:58:49Z,TRUE,quarta-feira,"(14,15]"
technicalpickles,6f27c3126515de49accfd972f15abbc835afd950,2013-05-02T15:10:50Z,TRUE,quinta-feira,"(8,9]"
technicalpickles,bd58793d97f8c89fcb35f51885d43a54e405097b,2013-12-07T18:55:03Z,TRUE,sábado,"(10,11]"
technicalpickles,a28d4277eae248a80737887683a8c339a818e6ae,2016-05-06T23:07:03Z,TRUE,sexta-feira,"(16,17]"
technicalpickles,2f7060a0bd355fba07a403453d2706444973cc35,2013-05-02T15:11:54Z,TRUE,quinta-feira,"(8,9]"
technicalpickles,af438b9fba4defe2a44c35462f1ab28ceab8a1cc,2015-03-13T22:04:54Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,dec4856c570f82855209dfb9b02df566953218ab,2013-12-31T22:45:42Z,TRUE,terça-feira,"(14,15]"
technicalpickles,e8482d505c4a1e0693fb090bf7decc5b41e1fc6f,2013-07-18T04:11:02Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,045de148e7c9c2738a8c44224073be8e5a626462,2014-08-22T03:16:48Z,TRUE,sexta-feira,"(20,21]"
technicalpickles,5f2f1a19cdf30c4394121295142144ff227c3051,2015-03-13T20:00:21Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,fb7f5fbef777ae21195556b19d59f2e53fcd2cc9,2014-08-18T15:33:30Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,1b6687bff090a99755c5dba6f89b331e05f563df,2013-12-31T18:11:41Z,TRUE,terça-feira,"(10,11]"
technicalpickles,e47323f2d1ab8994908ddfa38ec0bdc7e57597a1,2013-03-29T17:49:46Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,c8280af4e169f1940a1da7e64e7c08adbafc6105,2013-07-07T20:54:08Z,TRUE,domingo,"(13,14]"
technicalpickles,3a582cff8b838735d44d9cf092e1cd353cc07142,2014-11-01T17:18:05Z,TRUE,sábado,"(10,11]"
technicalpickles,e678459ccc76042c52a0d0b0c072cce96d019b04,2014-07-24T14:29:07Z,TRUE,quinta-feira,"(7,8]"
technicalpickles,31f29c6b22ff28026a6e5afda48588748fe7862b,2015-03-09T01:38:05Z,TRUE,segunda-feira,"(18,19]"
technicalpickles,6657d3d370272bce034ea25aab37aa2cc4e93106,2013-07-06T18:04:32Z,TRUE,sábado,"(11,12]"
technicalpickles,51d6e0f1f1526d2d47051dc391ac367a6665fc27,2015-03-23T19:10:07Z,TRUE,segunda-feira,"(12,13]"
technicalpickles,b96ea30654ef2dbf93f710c6e310c909fa1bdd65,2014-09-03T20:48:59Z,TRUE,quarta-feira,"(13,14]"
technicalpickles,ce7ba5ec01dfd3800bb620b05bb9e662748968bd,2013-07-18T04:57:11Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,fd2b6b1f9c8569fbe07a683049d19ff92ee1c597,2013-07-18T04:47:10Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,d558ab218cfbea3f268f472df87a1ab3b7df96a1,2015-02-20T18:27:25Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,c4a5e854e531cbf5932c73d137d4c7a9d0e90c9b,2013-10-29T21:34:05Z,TRUE,terça-feira,"(14,15]"
technicalpickles,91d75738708a1236b47c3876a40a89f221a5d522,2012-09-05T02:21:25Z,TRUE,quarta-feira,"(19,20]"
technicalpickles,0f9e83adb46cf489c5c32f28dea36189b400ab57,2013-04-23T15:02:14Z,TRUE,terça-feira,"(8,9]"
technicalpickles,36f415b8c212d0d2b046f01eb0eec250a45c38d7,2013-07-18T14:16:16Z,TRUE,quinta-feira,"(7,8]"
technicalpickles,e2851700fe2798fc36cb51aebea39f10efc1e0ff,2014-12-22T16:28:28Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,5a45f187622ea856f8e199a474a22e3dbb20649c,2015-03-13T00:13:45Z,TRUE,sexta-feira,"(17,18]"
technicalpickles,f88a8fcc9da653a6d85fc98bbd4ac6a0e9a9812e,2012-09-21T05:17:00Z,TRUE,sexta-feira,"(22,23]"
technicalpickles,eacfeaaddda2ba89bbf8cb521620b44ac95ed2b7,2012-05-17T00:26:03Z,TRUE,quinta-feira,"(17,18]"
technicalpickles,614195f3355bc623e2345edb87bc38ee15e17c3f,2012-06-09T00:26:51Z,TRUE,sábado,"(17,18]"
technicalpickles,f250f952db04ec044f88f2d4d9d5a7bca6e70318,2015-08-24T14:56:09Z,TRUE,segunda-feira,"(7,8]"
technicalpickles,29bb0747af4cbcae2c1afd9f52a4fb13d9abd2c6,2015-03-07T00:30:16Z,TRUE,sábado,"(16,17]"
technicalpickles,aff09bf250b281b0c4b878aae1d03e85cfe8717c,2014-05-15T13:38:32Z,TRUE,quinta-feira,"(6,7]"
technicalpickles,fd0a38ecca1746b9f73be59e351450f327be6413,2012-05-16T02:59:46Z,TRUE,quarta-feira,"(19,20]"
technicalpickles,7562e245eb5fe229fc861bfe870c6117ae36093f,2014-12-05T23:07:30Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,0b8d28b02d976b1bdcf05ef8f36213d63c4fe701,2016-01-08T23:48:41Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,9b16be427f0b0981eeb8bec049744c9ad3cd4a0d,2013-03-09T17:13:19Z,TRUE,sábado,"(9,10]"
technicalpickles,dee1ee9299f30a3562c99229bc0d93be0258d998,2012-09-08T19:06:40Z,TRUE,sábado,"(12,13]"
technicalpickles,ca5109811756eb53cc421a33681b227355c22fe1,2015-07-17T20:33:17Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,402af1db05c070dbe59967bfe83a9c8e759598aa,2014-10-16T21:01:06Z,TRUE,quinta-feira,"(14,15]"
technicalpickles,478125210b7218471f95536642af100e03a2e75f,2012-09-08T18:18:04Z,TRUE,sábado,"(11,12]"
technicalpickles,54c6be9a8857521964024a65a7d0358da82f3de6,2015-08-31T13:45:17Z,TRUE,segunda-feira,"(6,7]"
technicalpickles,1501a694b10cfb458b034d33478cd5be4532cd65,2015-04-28T14:37:09Z,TRUE,terça-feira,"(7,8]"
technicalpickles,9438f6d42f0777760a6660deba5f13ce11f48502,2014-01-24T17:01:49Z,TRUE,sexta-feira,"(9,10]"
technicalpickles,6c27217de19a154f43b0722b237489145dc7d39b,2014-05-15T13:43:24Z,TRUE,quinta-feira,"(6,7]"
technicalpickles,9a5f202a7cf05439b2ffbc4ceb58077af4f2f687,2013-12-31T17:40:13Z,TRUE,terça-feira,"(9,10]"
technicalpickles,467f64db204b6c3a33c48aa57c1599ffa85f0124,2014-04-01T20:29:30Z,TRUE,terça-feira,"(13,14]"
technicalpickles,f02da1ed008848d6caa5f9510f1aea10e9945bcd,2015-06-08T15:55:01Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,64949e3ce02d239c8426bea01505d98e9d3220d8,2014-01-14T15:17:31Z,TRUE,terça-feira,"(7,8]"
technicalpickles,62510f808c57f35336f8488b2ad9f9ac1e961279,2017-05-12T20:35:03Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,a2082e4c312f07260d234dcd84c1d5f12f37927f,2014-10-16T20:03:26Z,TRUE,quinta-feira,"(13,14]"
technicalpickles,6e72d93f4b43593d4c38d615a95e315c8a80761b,2014-08-22T04:32:04Z,TRUE,sexta-feira,"(21,22]"
technicalpickles,e282c40776fb130a753e4ba868cd0caf8eb8f458,2013-07-18T04:33:50Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,a73b78711eb4e6a949290bb707bdcd2a5a699818,2014-12-22T22:18:46Z,TRUE,segunda-feira,"(14,15]"
technicalpickles,e3f007d067137dd7cd62f0e9806714c5009e4952,2015-03-09T02:23:39Z,TRUE,segunda-feira,"(19,20]"
technicalpickles,710aad4e08cbda9de172dddff8eaff9be39e05a7,2015-01-30T21:46:46Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,ce3350ad47f0ec7dd1d7b4e8499032cefb38d642,2016-01-20T03:36:39Z,TRUE,quarta-feira,"(19,20]"
technicalpickles,e6102b252ae6b261284ee71c395ebbe8e6b82b89,2015-10-09T19:50:55Z,TRUE,sexta-feira,"(12,13]"
technicalpickles,6912f886f72a6eafa8e2a2b275e44bcebc20d72a,2014-11-01T17:01:56Z,TRUE,sábado,"(10,11]"
technicalpickles,59c0037dfb23959b70e3da8f9167a606dfcecfd7,2013-04-21T00:25:16Z,TRUE,domingo,"(17,18]"
technicalpickles,b89d821462d33426fa538703352e611782c3d617,2013-03-10T21:32:44Z,TRUE,domingo,"(14,15]"
technicalpickles,f2c7b0f57f0c06dd2ca28f150a6b1ad27be595e4,2013-12-12T14:57:54Z,TRUE,quinta-feira,"(6,7]"
technicalpickles,f91cdd142f8a1e1b9afb9f9df7b2f4708bdad58b,2014-02-10T16:46:29Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,167b9525334437fe9bba61fc4e72f0917bfb4cea,2014-10-16T21:18:30Z,TRUE,quinta-feira,"(14,15]"
technicalpickles,21ebbac9a6d815eeb628c0b6f3e1becd440693e7,2015-08-24T14:01:01Z,TRUE,segunda-feira,"(7,8]"
technicalpickles,2704461613a672b5eb115e619aa579f9355cfa3e,2014-08-22T02:06:13Z,TRUE,sexta-feira,"(19,20]"
technicalpickles,f86301587108f0b309a137296a95dff64fd3c6d2,2012-05-13T20:58:00Z,TRUE,domingo,"(13,14]"
technicalpickles,4bb126b1caa3639d3b3fcb0c5d48094113d87ac1,2014-10-20T11:39:50Z,TRUE,segunda-feira,"(4,5]"
technicalpickles,cb23a956fb8465a1f1c67e23967a84513d904a48,2013-07-07T22:49:20Z,TRUE,domingo,"(15,16]"
technicalpickles,c85a569850b1729b59065dc40dc28e0803574166,2014-10-20T11:43:21Z,TRUE,segunda-feira,"(4,5]"
technicalpickles,cca9cf306d6f1e93ab235d038255e085775baa60,2015-02-20T18:23:45Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,2841201b44e28747e5add6d23462b243641c9eb5,2016-01-09T00:11:33Z,TRUE,sábado,"(16,17]"
technicalpickles,8713e35bdc00747afc32976c4c038be650d49407,2014-12-22T16:40:04Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,a451ac40d87ff4d6fa9550187c0ab204805553f4,2015-04-03T21:02:52Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,53a215e507c2869b80f2ee29d9099e0ee13f3acb,2014-11-01T17:18:12Z,TRUE,sábado,"(10,11]"
technicalpickles,d6a4c9bccf93139f91a8c93ee83d2327667ba3f6,2014-08-22T01:36:17Z,TRUE,sexta-feira,"(18,19]"
technicalpickles,4bbe2f4490931ffd01955e73fe9f99dfcb017481,2016-01-20T04:28:42Z,TRUE,quarta-feira,"(20,21]"
technicalpickles,dd4abbce8e925a1ca94c077087f1c0fee97a73a0,2013-07-18T04:39:02Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,93fa5b232443744964367f1d926babe025062752,2015-03-13T20:43:10Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,a5178f5560251edcace24ca73956dbfcb9b3307f,2015-02-17T16:51:05Z,TRUE,terça-feira,"(8,9]"
technicalpickles,056d1cbe55a1c5f954e4175220a6e973e21b23ce,2015-03-13T19:07:33Z,TRUE,sexta-feira,"(12,13]"
technicalpickles,e28426c26f59ee6f2885044adcc87b31aabd2875,2014-09-25T00:17:09Z,TRUE,quinta-feira,"(17,18]"
technicalpickles,47a6711bd842d3302f29861d41b5de3e5c0153b8,2014-08-22T01:25:08Z,TRUE,sexta-feira,"(18,19]"
technicalpickles,f599f9dd6785d10d5ac7f6803311d1f51c19ef42,2013-07-19T14:34:28Z,TRUE,sexta-feira,"(7,8]"
technicalpickles,45d66981854a75fdc315233387fae022a99e1610,2014-10-29T15:14:55Z,TRUE,quarta-feira,"(8,9]"
technicalpickles,c14cb2819d2ff34f62eacf0c005374380cf18bbe,2016-05-06T22:55:40Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,785d826019367fa3e44b4986e445ac8e501ba876,2014-11-01T17:01:56Z,TRUE,sábado,"(10,11]"
technicalpickles,1d2d3a241ca300bc3511d0ca0a29b6fc8cc4dedb,2015-03-13T00:39:32Z,TRUE,sexta-feira,"(17,18]"
technicalpickles,51cf314175588018b31768c3d54e3cfee07f5151,2015-05-26T17:18:14Z,TRUE,terça-feira,"(10,11]"
technicalpickles,32279e38e8addf429cdf7e66f9ffccb675ecf363,2015-03-23T16:21:45Z,TRUE,segunda-feira,"(9,10]"
