id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
14701,closed,paulcbetts,volunter,iolsen,employee,76,0,null,null,null,"(30,180]",NA,NA,NA
14713,closed,joy1305,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14720,closed,UziTech,volunter,null,volunter,24,0,null,null,null,"(1,30]",NA,NA,NA
14727,open,torn4dom4n,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14729,closed,50Wliu,volunter,50Wliu,volunter,0,2,0,0,0,NA,NA,NA,NA
14736,closed,matthewwithanm,volunter,maxbrunsfeld,employee,14,0,null,null,null,"(1,30]",NA,NA,NA
14738,open,FBMachine,volunter,null,volunter,null,7,0,0,null,NA,NA,NA,NA
14745,closed,damieng,volunter,damieng,volunter,4,0,null,null,null,"(1,30]",NA,NA,NA
14753,closed,tjkohli,volunter,lee-dohm,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
14763,closed,wrongway4you,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14773,closed,damieng,volunter,damieng,volunter,29,0,null,null,null,"(1,30]",NA,NA,NA
14782,closed,paulcbetts,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
14783,open,matthewwithanm,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14788,closed,paulcbetts,volunter,iolsen,employee,11,0,null,null,null,"(1,30]",NA,NA,NA
14795,closed,50Wliu,volunter,lee-dohm,employee,33,0,null,null,null,"(30,180]",NA,NA,NA
14837,open,matthewwithanm,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14844,closed,lgeiger,volunter,null,volunter,10,0,null,null,null,"(1,30]",NA,NA,NA
14854,closed,ghost,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14870,closed,jamesjpk123,volunter,null,volunter,111,0,null,null,null,"(30,180]",NA,NA,NA
14886,closed,TimvdLippe,volunter,maxbrunsfeld,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
14887,closed,pkdaw,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
