id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
5535,closed,Godoy,volunter,zcbenz,employee,0,0,null,null,null
5537,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5538,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5540,closed,kcrt,volunter,zcbenz,employee,0,0,null,null,null
5542,closed,stevekinney,volunter,zcbenz,employee,0,0,null,null,null
5554,closed,zcbenz,employee,null,volunter,0,0,null,null,null
5557,closed,zcbenz,employee,zcbenz,employee,0,1,0,29,29
5559,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5567,closed,felixrieseberg,volunter,zcbenz,employee,0,4,0,0,0
5573,closed,johndbritton,employee,null,volunter,0,0,null,null,null
5574,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5575,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5576,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5578,closed,deepak1556,volunter,zcbenz,employee,1,0,null,null,null
558,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5580,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5582,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5584,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5587,closed,kcrt,volunter,kevinsawicki,employee,0,0,null,null,null
5588,closed,brunoqueiros,volunter,kevinsawicki,employee,0,4,0,0,0
5589,closed,Gaserd,volunter,paulcbetts,volunter,0,0,null,null,null
5594,closed,Gaserd,volunter,kevinsawicki,employee,0,0,null,null,null
5595,closed,miniak,volunter,zcbenz,employee,0,0,null,null,null
56,closed,probablycorey,employee,zcbenz,employee,0,0,null,null,null
5600,closed,tensor5,volunter,zcbenz,employee,0,0,null,null,null
5601,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5602,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5603,closed,leethomas,volunter,zcbenz,employee,2,0,null,null,null
5604,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
5605,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
5606,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5608,closed,Gaserd,volunter,zcbenz,employee,0,0,null,null,null
5610,closed,bigtimebuddy,volunter,kevinsawicki,employee,5,8,3,0,0
5611,closed,jviotti,volunter,zcbenz,employee,0,0,null,null,null
5614,closed,bengotow,volunter,zcbenz,employee,0,0,null,null,null
5616,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5617,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5622,closed,kcrt,volunter,zcbenz,employee,1,3,0,1,0
5624,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5625,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5630,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5631,closed,paulcbetts,volunter,zcbenz,employee,0,0,null,null,null
5634,closed,deepak1556,volunter,zcbenz,employee,0,0,null,null,null
5638,closed,deepak1556,volunter,zcbenz,employee,1,0,null,null,null
564,closed,sryze,volunter,zcbenz,employee,0,0,null,null,null
5640,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5644,closed,leethomas,volunter,zcbenz,employee,0,12,0,0,0
5646,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5648,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null
565,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
