id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
326,closed,macalinao,volunter,tombell,volunter,3,3,0,0,3
324,closed,jroes,volunter,tombell,volunter,0,3,0,0,0
323,closed,ghost,volunter,tombell,volunter,0,3,0,0,0
321,closed,macalinao,volunter,tombell,volunter,1,6,0,0,0
320,closed,maletor,volunter,maletor,volunter,0,5,0,0,0
319,closed,tombell,volunter,tombell,volunter,21,3,368,0,347
318,closed,vinc3m1,volunter,tombell,volunter,0,1,0,0,0
316,closed,jmfn,volunter,jmfn,volunter,0,2,0,0,0
315,closed,hamxiaoz,volunter,tombell,volunter,0,4,197,0,197
314,closed,Telmo,volunter,tombell,volunter,0,1,0,0,0
312,closed,samdawsey,volunter,tombell,volunter,0,3,0,0,0
311,closed,madmax,volunter,tombell,volunter,1,4,0,0,0
308,closed,tombell,volunter,tombell,volunter,15,0,null,null,null
307,closed,smhinsey,volunter,smhinsey,volunter,0,3,1,0,1
306,closed,technicalpickles,employee,tombell,volunter,8,5,7,0,0
305,closed,travisjeffery,volunter,tombell,volunter,0,3,0,0,0
303,closed,sirkitree,volunter,tombell,volunter,0,2,0,0,0
300,closed,iamsk,volunter,tombell,volunter,0,1,0,0,0
295,closed,technicalpickles,employee,tombell,volunter,0,4,0,0,0
293,closed,ethank,volunter,ethank,volunter,0,4,5,0,5
292,closed,brock,volunter,tombell,volunter,0,4,0,0,0
289,closed,stuartf,volunter,tombell,volunter,0,7,20,0,20
288,closed,stuartf,volunter,tombell,volunter,0,1,0,0,0
287,closed,samstarling,volunter,tombell,volunter,0,20,1443,0,1443
286,closed,siznax,volunter,siznax,volunter,0,3,0,0,0
284,closed,amoslanka,volunter,tombell,volunter,15,0,null,null,null
281,closed,ryansch,volunter,tombell,volunter,6,8,6,0,0
280,closed,atmos,volunter,tombell,volunter,264,4,0,263,0
279,closed,laurentkempe,volunter,tombell,volunter,0,3,1,0,1
277,closed,jmagnuss,volunter,tombell,volunter,0,2,2,0,2
275,closed,jk,volunter,tombell,volunter,0,12,68,0,68
269,closed,bhardin,volunter,tombell,volunter,3,0,null,null,null
268,closed,bsorensen,volunter,tombell,volunter,0,5,62,0,62
267,closed,zgohr,volunter,atmos,volunter,0,2,0,0,0
266,closed,danielmurphy,volunter,tombell,volunter,0,2,0,0,0
263,closed,amaltson,volunter,tombell,volunter,0,3,0,0,0
262,closed,marijn,volunter,atmos,volunter,0,2,0,0,0
260,closed,tombell,volunter,tombell,volunter,23,0,null,null,null
259,closed,amaltson,volunter,tombell,volunter,0,1,0,0,0
258,closed,trobrock,volunter,tombell,volunter,0,1,0,0,0
256,closed,tombell,volunter,tombell,volunter,15,1,0,15,0
255,closed,atmos,volunter,atmos,volunter,10,7,3,6,0
252,closed,mbixby,volunter,atmos,volunter,0,1,0,0,0
251,closed,stuartf,volunter,tombell,volunter,15,3,3,15,3
250,closed,amfeng,volunter,amfeng,volunter,0,5,0,0,0
249,closed,atmos,volunter,atmos,volunter,886,20,1099,0,212
1351,closed,matteoredaelli,volunter,bkeepers,employee,0,2,0,0,0
1341,closed,rqc,volunter,stale[bot],bot,102,3,95,0,7
1338,open,timkinnane,volunter,null,volunter,null,9,113,0,null
1333,closed,Norgerman,volunter,technicalpickles,employee,0,1,0,0,0
1327,open,bkeepers,employee,null,volunter,null,12,120,0,null
1324,closed,nishizuka,volunter,mose,volunter,1,5,1,0,0
1322,closed,bkeepers,employee,bkeepers,employee,7,3,6,1,0
248,closed,catchamonkey,volunter,catchamonkey,volunter,0,6,0,0,0
246,closed,catchamonkey,volunter,catchamonkey,volunter,0,2,0,0,0
245,closed,mikebridge,volunter,tombell,volunter,0,6,0,0,0
244,closed,ilkka,volunter,tombell,volunter,8,4,1,0,7
240,closed,jimmycuadra,volunter,tombell,volunter,14,2,0,0,13
239,closed,chip,volunter,chip,volunter,0,11,0,0,0
238,closed,iAladdin,volunter,tombell,volunter,0,3,0,0,0
236,closed,tombell,volunter,tombell,volunter,11,14,298,1,288
235,closed,iangreenleaf,volunter,atmos,volunter,0,3,9,0,9
234,closed,tombell,volunter,tombell,volunter,22,2,0,3,18
233,closed,alxgsv,volunter,tombell,volunter,0,7,1504,0,1504
232,closed,benhamill,volunter,technicalpickles,employee,1236,16,1236,0,0
231,closed,hakusaro,volunter,tombell,volunter,23,7,21,1,0
230,closed,iangreenleaf,volunter,atmos,volunter,0,3,0,0,0
227,closed,alexgodin,volunter,tombell,volunter,0,9,36,0,35
226,closed,dabrahams,volunter,tombell,volunter,0,1,0,0,0
225,closed,alexgodin,volunter,tombell,volunter,0,1,0,0,0
223,closed,lucassmagal,volunter,tombell,volunter,1,2,1,0,0
222,closed,stewart,volunter,stewart,volunter,0,6,0,0,0
216,closed,mdornseif,volunter,tombell,volunter,0,8,6,0,6
215,closed,remik,volunter,atmos,volunter,0,1,0,0,0
214,closed,patcon,volunter,tombell,volunter,0,0,null,null,null
213,closed,trvrplk,volunter,tombell,volunter,0,2,1,0,1
212,closed,zomble,volunter,tombell,volunter,0,12,104,0,104
207,closed,r96941046,volunter,tombell,volunter,0,1,0,0,0
205,closed,skalnik,employee,skalnik,employee,0,6,0,0,0
203,closed,skalnik,employee,skalnik,employee,0,4,0,0,0
201,closed,brunobord,volunter,brunobord,volunter,0,4,0,0,0
200,closed,atmos,volunter,tombell,volunter,23,1,0,2,20
197,closed,tombell,volunter,tombell,volunter,0,1,0,0,0
189,closed,pksunkara,volunter,tombell,volunter,0,1,0,0,0
187,closed,strass,volunter,tombell,volunter,2,6,2,0,0
186,closed,incanus,volunter,tombell,volunter,2,0,null,null,null
185,closed,alx,volunter,tombell,volunter,0,4,0,0,0
181,closed,caleywoods,volunter,atmos,volunter,0,8,64,0,64
180,closed,rossdeane,volunter,tombell,volunter,4,1,0,0,4
171,closed,gregplumbly,volunter,gregplumbly,volunter,0,3,0,0,0
169,closed,aashay,volunter,aashay,volunter,0,3,0,0,0
166,closed,lukesmith,volunter,atmos,volunter,0,17,1630,0,1630
163,closed,agrieser,volunter,agrieser,volunter,0,0,null,null,null
161,closed,mrtazz,volunter,mrtazz,volunter,0,1,0,0,0
160,closed,surma,volunter,tombell,volunter,12,0,null,null,null
159,closed,stuartf,volunter,tombell,volunter,3,6,0,0,3
157,closed,joshuajabbour,volunter,atmos,volunter,1,4,0,0,0
156,closed,strass,volunter,tombell,volunter,0,3,9,0,9
155,closed,vlpeng,volunter,atmos,volunter,0,15,1448,0,1448
153,closed,matiaskorhonen,volunter,atmos,volunter,0,5,1,0,1
151,closed,LILA-99,volunter,tombell,volunter,0,7,0,0,0
149,closed,LILA-99,volunter,tombell,volunter,1,7,1,0,0
139,closed,BrokenEnso,volunter,tombell,volunter,0,0,null,null,null
137,closed,fread2281,volunter,fread2281,volunter,0,2,0,0,0
132,closed,stuartf,volunter,atmos,volunter,1,9,0,0,0
131,closed,spier,volunter,tombell,volunter,7,4,0,0,7
130,closed,alexgodin,volunter,tombell,volunter,12,3,7,0,5
125,closed,blt,volunter,blt,volunter,0,1,0,0,0
122,closed,sbentzen,volunter,tombell,volunter,8,21,367,0,359
119,closed,jrimmer,volunter,jrimmer,volunter,2,3,1,0,0
116,closed,sbentzen,volunter,sbentzen,volunter,1,13,1,0,0
115,closed,kkost,volunter,atmos,volunter,17,2,1,17,1
114,closed,sbentzen,volunter,sbentzen,volunter,0,4,0,0,0
112,closed,searls,volunter,tombell,volunter,8,4,0,0,7
109,closed,kneath,volunter,atmos,volunter,18,3,8,9,0
108,closed,tbertz,volunter,tbertz,volunter,0,1,0,0,0
107,closed,tbertz,volunter,atmos,volunter,0,2,0,0,0
105,closed,cldwalker,volunter,atmos,volunter,0,1,0,0,0
102,closed,leto,volunter,leto,volunter,0,9,898,0,898
100,closed,eddanger,volunter,atmos,volunter,0,2,0,0,0
97,closed,jrgifford,volunter,atmos,volunter,1,11,1,0,0
96,closed,phyreman,volunter,phyreman,volunter,0,6,0,0,0
95,closed,bigbash,volunter,atmos,volunter,1,10,156,0,155
92,closed,avocade,volunter,atmos,volunter,1,6,2,0,0
91,closed,dannymcc,volunter,dannymcc,volunter,0,3,0,0,0
90,closed,dannymcc,volunter,atmos,volunter,1,4,0,0,1
89,closed,dannymcc,volunter,dannymcc,volunter,0,3,0,0,0
88,closed,tombell,volunter,atmos,volunter,1,0,null,null,null
84,closed,sethtrain,volunter,sethtrain,volunter,0,4,0,0,0
81,closed,OiNutter,volunter,atmos,volunter,2,2,0,2,0
78,closed,jrimmer,volunter,tombell,volunter,15,17,1004,0,988
77,closed,jrimmer,volunter,atmos,volunter,0,4,1,0,0
73,closed,jasford,volunter,atmos,volunter,2,2,0,0,0
72,closed,dcarley,volunter,dcarley,volunter,0,2,0,0,0
71,closed,dcarley,volunter,atmos,volunter,1,24,1270,0,1270
68,closed,zenshell,volunter,technoweenie,volunter,0,1,0,0,0
66,closed,davegoldberg,volunter,davegoldberg,volunter,1,6,4,0,3
65,closed,jk,volunter,jk,volunter,11,9,11,0,0
63,closed,jszwedko,volunter,jszwedko,volunter,0,2,0,0,0
62,closed,gsf,volunter,atmos,volunter,1,5,1,0,0
53,closed,technoweenie,volunter,technoweenie,volunter,0,6,0,0,0
51,closed,titanous,volunter,atmos,volunter,0,15,0,0,0
48,closed,tombell,volunter,tombell,volunter,0,3,0,0,0
47,closed,1stvamp,volunter,1stvamp,volunter,0,12,0,0,0
44,closed,dipth,volunter,dipth,volunter,0,6,1032,0,1032
42,closed,leifbladt,volunter,leifbladt,volunter,0,2,0,0,0
28,closed,skoch,volunter,atmos,volunter,0,3,0,0,0
27,closed,didip,volunter,atmos,volunter,0,6,0,0,0
24,closed,searls,volunter,searls,volunter,0,3,0,0,0
23,closed,searls,volunter,searls,volunter,0,3,0,0,0
20,closed,honza,volunter,atmos,volunter,0,11,0,0,0
18,closed,ethnt,volunter,atmos,volunter,2,10,2,0,0
17,closed,atmos,volunter,atmos,volunter,3,0,null,null,null
16,closed,atmos,volunter,tombell,volunter,14,4,2,1,11
15,closed,rtomayko,volunter,atmos,volunter,3,5,1,0,1
14,closed,sr,volunter,atmos,volunter,5,3,1004,0,999
11,closed,kneath,volunter,atmos,volunter,21,1,0,21,0
10,closed,mtodd,employee,atmos,volunter,24,3,0,0,24
9,closed,mtodd,employee,mtodd,employee,0,3,0,0,0
8,closed,kneath,volunter,atmos,volunter,44,6,44,0,0
