user, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
felixdv,1.0,0.0,0.0,0.0,0.0
adamvduke,0.0,1.0,0.0,0.0,0.0
Eliada,0.0,0.0,1.0,0.0,0.0
maxgoedjen,0.0,0.0,1.0,0.0,0.0
mose,0.0,0.0,0.0,0.30303030303030304,0.696969696969697
wingrunr21,0.0,0.0,1.0,0.0,0.0
nwest,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
softarn,1.0,0.0,0.0,0.0,0.0
pauliwang,0.0,0.0,1.0,0.0,0.0
rileytg,0.0,0.0,0.0,1.0,0.0
aroben,0.1,0.3,0.4,0.2,0.0
Sing-Li,1.0,0.0,0.0,0.0,0.0
rsanheim,0.0,0.0,0.0,0.0,1.0
davidkassa,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
bouzuya,0.0,1.0,0.0,0.0,0.0
packetmonkey,0.0,0.0,1.0,0.0,0.0
rodrigoaguilera,1.0,0.0,0.0,0.0,0.0
Restuta,1.0,0.0,0.0,0.0,0.0
parkr,0.32142857142857145,0.21428571428571427,0.21428571428571427,0.0,0.25
khellang,0.0,0.0,0.0,0.0,1.0
bkeepers,0.02902757619738752,0.09143686502177069,0.29027576197387517,0.2416545718432511,0.34760522496371554
rgbkrk,1.0,0.0,0.0,0.0,0.0
miyagawa,1.0,0.0,0.0,0.0,0.0
MikeMcQuaid,0.0,0.0,0.0,0.0,1.0
leefaus,0.0,0.0,0.6727272727272727,0.0,0.32727272727272727
bhuga,0.21149425287356322,0.10574712643678161,0.07586206896551724,0.4804597701149425,0.12643678160919541
dblandin,0.0,0.0,0.0,0.0,1.0
coryallegory,0.0,0.0,1.0,0.0,0.0
xuoe,0.0,1.0,0.0,0.0,0.0
tricknotes,0.19047619047619047,0.38095238095238093,0.047619047619047616,0.14285714285714285,0.23809523809523808
MrSaints,0.0,0.0,1.0,0.0,0.0
balbeko,0.4666666666666667,0.0,0.4,0.044444444444444446,0.08888888888888889
kballard,0.0,0.0,1.0,0.0,0.0
halkeye,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
jjasghar,0.0,0.0,1.0,0.0,0.0
ngs,0.0,0.0,1.0,0.0,0.0
afeld,0.4,0.0,0.6,0.0,0.0
hhaidar,1.0,0.0,0.0,0.0,0.0
thiagogabriel,0.0,0.0,1.0,0.0,0.0
danielcompton,0.0,0.0,1.0,0.0,0.0
ChrisLundquist,0.0,1.0,0.0,0.0,0.0
smerrill,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
needcaffeine,0.0,1.0,0.0,0.0,0.0
