user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
ptoomey3,false,1.0,0.0,0.0,0.0,0.0
EasyHard,false,0.0,0.0,1.0,0.0,0.0
Ingramz,false,0.10967741935483871,0.25161290322580643,0.14193548387096774,0.43870967741935485,0.05806451612903226
alandarev,false,1.0,0.0,0.0,0.0,0.0
RodrigoEspinosa,false,0.0,1.0,0.0,0.0,0.0
jsoref,false,0.0,0.0,0.0,0.9857397504456328,0.0142602495543672
ArnaudRinquin,false,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
rsese,false,0.0,0.0,0.0,0.0,1.0
CoolOppo,false,0.0,1.0,0.0,0.0,0.0
SKAhack,false,0.0,0.0,1.0,0.0,0.0
watsonian,false,0.0,0.0,0.0,1.0,0.0
0b10011,false,1.0,0.0,0.0,0.0,0.0
devoncarew,false,0.0,0.0,1.0,0.0,0.0
neurosnap,false,0.0,0.0,0.0,1.0,0.0
bcoe,false,0.0,0.0,0.0,0.0,1.0
tcyrus,false,0.0,0.0,1.0,0.0,0.0
aranajhonny,false,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
dungeonmaster18,false,0.0,1.0,0.0,0.0,0.0
zeke,false,0.3,0.0,0.1,0.6,0.0
vpeil,false,0.0,1.0,0.0,0.0,0.0
acontreras89,false,0.3,0.0,0.7,0.0,0.0
varesa,false,0.0,0.0,0.0,0.0,1.0
matttbe,false,0.0,0.0,1.0,0.0,0.0
mortenpi,false,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0
mrnonz,false,0.0,0.0,1.0,0.0,0.0
dietmar,false,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
nikhilofthesouth,false,0.0,0.0,1.0,0.0,0.0
basarat,false,0.6388888888888888,0.2222222222222222,0.05555555555555555,0.0,0.08333333333333333
rickydam,false,0.0,1.0,0.0,0.0,0.0
dsine-de,false,0.0,1.0,0.0,0.0,0.0
