user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
SparkysWidgets,false,0.12087912087912088,0.01098901098901099,0.38461538461538464,0.2857142857142857,0.1978021978021978
lutoma,false,1.0,0.0,0.0,0.0,0.0
kashif,false,0.0,0.0,0.6,0.2,0.2
elibarzilay,false,0.0,0.0,0.0,0.0,1.0
bbarker,false,0.5333333333333333,0.2,0.0,0.0,0.26666666666666666
tiwe-de,false,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
petros,false,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
jasonmalinowski,false,0.0,0.0,0.0,1.0,0.0
rwtolbert,false,0.0,0.0,1.0,0.0,0.0
deviantintegral,false,0.0,1.0,0.0,0.0,0.0
rankida,false,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
DennisMcWherter,false,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
rschiang,false,1.0,0.0,0.0,0.0,0.0
greystate,false,0.7,0.0,0.3,0.0,0.0
samoht,false,0.0,1.0,0.0,0.0,0.0
alflanagan,false,1.0,0.0,0.0,0.0,0.0
xbony2,false,0.0,0.0,0.0,1.0,0.0
elofgren,false,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
FarbodSalamat-Zadeh,false,0.6,0.13333333333333333,0.26666666666666666,0.0,0.0
lucky,false,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
MahmoudFayed,false,0.0,0.0,0.0,0.0,1.0
r0man,false,1.0,0.0,0.0,0.0,0.0
emma-burrows,false,0.5357142857142857,0.14285714285714285,0.21428571428571427,0.0,0.10714285714285714
qqshfox,false,1.0,0.0,0.0,0.0,0.0
thorn0,false,0.0,1.0,0.0,0.0,0.0
jeffreykegler,false,0.0,1.0,0.0,0.0,0.0
adityam,false,1.0,0.0,0.0,0.0,0.0
lqez,false,0.0,0.0,1.0,0.0,0.0
marceloramires,false,0.4642857142857143,0.14285714285714285,0.39285714285714285,0.0,0.0
russell-stripe,false,0.0,1.0,0.0,0.0,0.0
sergeyklay,false,0.0,0.0,1.0,0.0,0.0
vog,false,1.0,0.0,0.0,0.0,0.0
danielgtaylor,false,0.0,0.0,1.0,0.0,0.0
rhunter,false,0.0,0.0,0.0,0.0,1.0
lepture,false,0.0,1.0,0.0,0.0,0.0
jstrachan,false,1.0,0.0,0.0,0.0,0.0
gsmcwhirter,false,1.0,0.0,0.0,0.0,0.0
kethomassen,false,0.6,0.06666666666666667,0.3333333333333333,0.0,0.0
dylex,false,1.0,0.0,0.0,0.0,0.0
remiprev,false,1.0,0.0,0.0,0.0,0.0
Jaykul,false,0.0,0.6,0.0,0.0,0.4
dmoisset,false,1.0,0.0,0.0,0.0,0.0
Turbo87,false,1.0,0.0,0.0,0.0,0.0
JoshTheGeek,false,0.5,0.0,0.0,0.5,0.0
calavera,false,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
joshaber,false,0.0,0.0,0.0,1.0,0.0
anpar,false,0.7142857142857143,0.10714285714285714,0.17857142857142858,0.0,0.0
cndreisbach,false,1.0,0.0,0.0,0.0,0.0
refractalize,false,1.0,0.0,0.0,0.0,0.0
lkuper,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
jdennes,false,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
alexruperez,false,1.0,0.0,0.0,0.0,0.0
uo-hrsys,false,0.0,0.0,0.0,0.0,1.0
brandonwamboldt,false,0.0,0.0,0.0,1.0,0.0
alexweber,false,0.0,1.0,0.0,0.0,0.0
GordonSmith,false,0.0,0.0,0.0,1.0,0.0
rick,false,0.12169312169312169,0.0,0.0,0.26455026455026454,0.6137566137566137
beckje01,false,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
vighnesh1987,false,0.9,0.1,0.0,0.0,0.0
cjllanwarne,false,1.0,0.0,0.0,0.0,0.0
dcmoore-gd,false,0.0,0.0,1.0,0.0,0.0
LeonaMorro,false,1.0,0.0,0.0,0.0,0.0
jcazevedo,false,1.0,0.0,0.0,0.0,0.0
iblech,false,0.0,0.0,0.0,1.0,0.0
jerstlouis,false,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
scottclowe,false,1.0,0.0,0.0,0.0,0.0
thestinger,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
karel-brinda,false,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
mbdoud,false,0.4642857142857143,0.0,0.39285714285714285,0.0,0.14285714285714285
tdeitch,false,0.0,0.0,0.0,0.0,1.0
jeabakker,false,0.0,0.0,1.0,0.0,0.0
prertik,false,1.0,0.0,0.0,0.0,0.0
jayphelps,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
pchaigno,false,0.19197514805576385,0.05196872082880622,0.18311475660703627,0.4004009365387853,0.17254043796960838
sanssecours,false,1.0,0.0,0.0,0.0,0.0
